MeSH Code,UMLS Code
D000038,C0000833
D000130,C0001080
D000152,C0001144
D055673,C0796147
D001991,C0006277
D017114,C0162557
D054198,C0023452
D015470,C1879321
D011832,C0034530
D012128,C2887484
D000257,C0001486
C538235,C0268126
D014353,C0027333
D000379,C0001818
D004618,C0013926
D000437,C0001956
D000435,C0001969
D006967,C1527304
D000506,C0002171
D019896,C0221757
D017085,C0002312
D000532,C3887755
D000544,C0002395
D000562,C0002438
D000690,C0002736
D000707,C0002792
D050030,C1563715
D000740,C0002871
D017204,C0162635
D002613,C0007971
D013167,C0038013
D000856,C0003125
D000881,C0003175
D001008,C0376280
D013281,C0086789
D000741,C0178416
D001063,C0496779
D001145,C0003811
D020261,C0751851
D001168,C0003864
D001196,C0003950
D001201,C0003962
D011015,C0032290
D014008,C0040259
C538259,C0521802
D001281,C3468561
D001327,C0004364
D019693,C0241910
D016884,C0085859
D017044,C0085548
D010020,C0027543
D001404,C0004576
D016585,C0085166
D006223,C0265326
D002280,C4721806
D001511,C0004913
D001528,C0004943
D014717,C0155503
D011470,C1704272
D044905,C4048196
C567652,C2750087
D015456,C0023464
D001714,C0005586
D001716,C0031903
D009358,C0027612
D001749,C0005695
D001744,C0005683
D001859,C0005967
D001883,C0006012
D011000,C0032238
D001906,C0006057
D007415,C0021843
D001932,C0006118
D001987,C0006267
D001988,C0006271
D001989,C2350875
D002006,C0006309
D053840,C1721096
D010244,C0393540
D002056,C0006434
D054312,C0085568
C537415,C0265514
D062787,C0029944
D002169,C0006818
D019559,C0343084
D002249,C0007020
D002305,C0007177
D012770,C0036980
D002318,C0007222
D002349,C0007286
C535916,C0220748
C536334,C2677794
D002481,C0031557
D002547,C0394003
D002583,C0007873
D017043,C0007933
D053447,C1720983
D002607,C0270911
D002057,C0006435
D002637,C0008031
D018354,C0919833
D059269,C0267494
D002690,C0008149
D002764,C0014012
D002771,C0008354
D015673,C0015674
D007676,C0022661
D015451,C0023434
D006646,C0019621
D008103,C0023890
D003027,C0393739
D002446,C0007570
D003139,C0086066
D003161,C0009492
D001924,C0006107
D000742,C1306589
D052497,C0221032
D006330,C0018798
D010494,C0031876
D003291,C0009946
D012640,C3495874
D003324,C1956346
D003424,C0949272
D003440,C2350036
D003453,C3888929
D003480,C0010481
D003536,C0010631
D003550,C1527396
D052858,C0010695
D020246,C0042487
D003693,C0154333
D000430,C0001957
D004485,C0013595
D003882,C0263666
D016883,C0011880
D003928,C4759705
D002311,C1449563
D004165,C1301422
D004211,C0012739
D004238,C0012813
D004244,C0220870
D007566,C0022350
D020388,C3542021
D004401,C0454596
D001342,C0393912
D004403,C0013369
D011146,C0032633
D050171,C0242339
D004412,C0013390
D019263,C4704929
D020242,C0153065
D004461,C0013537
D011271,C0032987
D004652,C0014008
D004660,C0393484
D006043,C0018022
D016889,C0476089
D004715,C0014175
D004716,C0014179
D015267,C0008728
D004820,C0014527
D004823,C0014534
D006407,C0238154
D004826,C0014541
D015423,C0027547
D004938,C0546837
D005211,C0015652
D004620,C0013928
D034062,C0206042
D003294,C0751057
D005334,C0015967
D005348,C0085750
D005356,C0751153
D005512,C0016470
D005600,C0751157
D005706,C0153452
D020252,C0267211
D005756,C0017152
D005759,C0017160
D005764,C0017168
D006471,C0018932
D018589,C0152020
D009494,C0343686
D006559,C0019343
D013700,C1956391
D005873,C0017536
D005877,C0017547
D005901,C0017601
D005909,C0334588
D005955,C2939465
D006010,C0017922
D006069,C0018081
D006073,C0018099
D006111,C0018213
D017359,C0162739
D000163,C0001175
D025861,C0852077
D050031,C0677607
D006333,C0018801
D006356,C0018834
D016481,C0079487
D006463,C0019061
D006484,C0019112
D006504,C0019156
D006505,C0019158
D006506,C0019159
D006509,C0019163
D003699,C1956384
D016751,C0085293
D054179,C0019243
D013683,C0039445
D006560,C0019345
D006551,C3489393
D006627,C0085758
D006689,C1334968
