MeSH Code,UMLS Code
D018357,C0035235
D009976,C0276357
D015658,C0019693
D000163,C0001175
D001943,C1257931
D003110,C0007102
D015674,C1257925
D012878,C0007114
D009374,C0027659
D002471,C0007621
D009386,C0027672
D016864,C0085390
D001847,C0005940
D001848,C0005941
D003057,C0751037
D001851,C0029453
D010024,C0001787
D013122,C0037933
D012600,C0036439
D007575,C0022366
D007592,C0022408
D001172,C0003873
D005356,C0751153
D017241,C0162671
D017246,C0162674
D020389,C0410189
D019465,C0376634
D008831,C0025958
D003092,C0009319
D007079,C0020877
D008286,C0024523
D005234,C2711227
D008103,C0023890
D050500,C0149521
D005158,C0015469
D016388,C0080233
D019217,C0004277
D008171,C0024115
D014929,C4551693
D006319,C0018784
D001927,C0006111
D006816,C0393574
D002547,C0394003
D001260,C0004135
D002561,C0007820
D003704,C0497327
D000544,C0002395
D020329,C0270736
D021081,C0813142
D002607,C0270911
D020752,C0265316
D019636,C0524851
D008569,C0751292
D003635,C0270972
D004314,C0432416
D010146,C0458257
D009468,C0002735
D020268,C0751865
D007319,C0541798
D000417,C0001916
D002386,C0086543
D007248,C0848676
D014646,C0042341
D007674,C0022658
D006977,C0020544
D005921,C0017658
D014511,C0041948
D016649,C0085215
D000026,C0000809
D012848,C0037188
D009202,C0878544
D006323,C0018790
D017202,C0151744
D003324,C1956346
D014652,C0042373
D050197,C1563937
D006973,C0020538
D000015,C0000772
D001816,C0005859
D012868,C0037268
D019871,C1148551
D011038,C0032339
D030342,C0950123
D008661,C0025521
D028226,C0740340
D011371,C0033300
D003483,C0010495
D014898,C0043119
D016511,C0085110
D003240,C0009782
D003095,C0009326
D012595,C0036421
D045743,C1258104
D012871,C0178298
D006201,C0018500
D014820,C0042900
D008060,C0023787
D049914,C1563696
D003921,C0002152
D003924,C0011860
D006943,C1855520
D007333,C0920563
D006949,C0020473
D015228,C0020557
D028361,C0949855
D014808,C0042870
D009765,C0028754
D000303,C0001614
D001327,C0004364
D003130,C0086703
D013313,C4505439
D003072,C0029947
D002658,C0085996
D006547,C0019270
D003645,C0011071
D020022,C0314657
D042822,C0919532
D005911,C3887640
D006130,C0018273
D007249,C5200801
D007511,C0022116
D009389,C0027686
D009410,C0027746
D019973,C0236664
D000437,C0001956
D001265,C0004161
D011832,C0034530
D011833,C0034531
D016470,C0004610
