MeSH Term,MeSH Code
"Nephroma, Mesoblastic",D018201
Limbic Encephalitis,D020363
Penile Induration,D010411
Coma,D003128
Dental Fistula,D003751
Follicular Cyst,D005497
"Diverticulum, Colon",D004241
Macrostomia,D008265
"Lung Diseases, Parasitic",D008174
"Aneurysm, Dissecting",D000784
Rectovaginal Fistula,D012006
Dentin Sensitivity,D003807
Tongue Diseases,D014060
Ulnar Neuropathies,D020424
Anthracosis,D055008
"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
Conjunctival Diseases,D003229
Respiratory Tract Infections,D012141
Weight Loss,D015431
Rubella,D012409
"Lymphangiectasis, Intestinal",D008201
"Dwarfism, Pituitary",D004393
Chromosome Aberrations,D002869
Condylomata Acuminata,D003218
Disorders of Sex Development,D012734
"Fibromatosis, Aggressive",D018222
Biliary Fistula,D001658
Acute Kidney Injury,D058186
"Anemia, Hemolytic, Autoimmune",D000744
Marek Disease,D008380
Cementoma,D002485
Egg Hypersensitivity,D021181
Exanthema Subitum,D005077
Multiple Chemical Sensitivity,D018777
Chondrodysplasia Punctata,D002806
"Papilloma, Choroid Plexus",D020288
Neurocirculatory Asthenia,D009449
"Granuloma, Lethal Midline",D006103
Pantothenate Kinase-Associated Neurodegeneration,D006211
"Leukemia, Prolymphocytic, T-Cell",D015461
"Lupus Erythematosus, Systemic",D008180
Vulvar Diseases,D014845
"Skin Diseases, Genetic",D012873
Low Tension Glaucoma,D057066
Leukocyte-Adhesion Deficiency Syndrome,D018370
Middle Lobe Syndrome,D008878
"Constriction, Pathologic",D003251
"Carcinoma, Papillary",D002291
Diabetic Nephropathies,D003928
Cholestasis,D002779
"Genetic Diseases, Y-Linked",D050174
"Hearing Loss, Noise-Induced",D006317
Choroid Plexus Neoplasms,D016545
Lichen Sclerosus et Atrophicus,D018459
"46, XX Disorders of Sex Development",D058489
"Sexual Dysfunction, Physiological",D012735
"Aortic Stenosis, Subvalvular",D001020
"Kidney Tubular Necrosis, Acute",D007683
Peripheral Nervous System Neoplasms,D010524
"Fibromatosis, Gingival",D005351
Jaw Abnormalities,D007569
Prader-Willi Syndrome,D011218
Epistaxis,D004844
Paralysis,D010243
HTLV-I Infections,D015490
Parasomnias,D020447
"Plaque, Amyloid",D058225
Erysipeloid,D004887
Dental Fissures,D003750
Visna,D016182
Orthostatic Intolerance,D054971
Cardiovirus Infections,D018188
Jacobsen Distal 11q Deletion Syndrome,D054868
Diabetic Foot,D017719
Placenta Diseases,D010922
Primary Progressive Nonfluent Aphasia,D057178
Tachycardia,D013610
Anaplasmataceae Infections,D000711
Relapsing Fever,D012061
Pulmonary Eosinophilia,D011657
Leukoencephalopathies,D056784
Kidney Cortex Necrosis,D007673
Wasting Syndrome,D019282
Carcinoid Heart Disease,D002275
Hemangioma,D006391
Meckel Diverticulum,D008467
"Anemia, Myelophthisic",D000750
Fasciculation,D005207
"Dermatitis, Allergic Contact",D017449
Thyroid Nodule,D016606
Hyperopia,D006956
