umls_code,term
C0035235,Respiratory Syncytial Virus Infections
C0276357,Swine influenza
C0019693,HIV Infections
C0001175,Acquired Immunodeficiency Syndrome
C1257931,"Mammary Neoplasms, Human"
C0007102,Malignant tumor of colon
C1257925,"Mammary Carcinoma, Animal"
C0007114,Malignant neoplasm of skin
C0027659,"Neoplasms, Experimental"
C0007621,Neoplastic Cell Transformation
C0027672,"Neoplastic Syndromes, Hereditary"
C0085390,Li-Fraumeni Syndrome
C0005940,Bone Diseases
C0005941,"Bone Diseases, Developmental"
C0751037,"Cockayne Syndrome, Type III"
C0029453,Osteopenia
C0001787,"Osteoporosis, Age-Related"
C0037933,Spinal Diseases
C0036439,"Scoliosis, unspecified"
C0022366,"Jaw, Edentulous"
C0022408,Arthropathy
C0003873,Rheumatoid Arthritis
C0751153,"Fibromyalgia, Secondary"
C0162671,MELAS Syndrome
C0162674,Chronic progressive external ophthalmoplegia
C0410189,"Muscular Dystrophy, Emery-Dreifuss"
C0376634,Craniofacial Abnormalities
C0025958,Microcephaly
C0009319,Colitis
C0020877,Ileitis
C0024523,Malabsorption Syndrome
C2711227,Steatohepatitis
C0023890,Liver Cirrhosis
C0149521,"Pancreatitis, Chronic"
C0015469,Facial paralysis
C0080233,Tooth Loss
C0004277,Tooth Attrition
C0024115,Lung diseases
C4551693,Wolfram Syndrome 1
C0018784,Sensorineural Hearing Loss (disorder)
C0006111,Brain Diseases
C0393574,"Huntington Disease, Late Onset"
C0394003,"Cerebral Palsy, Dystonic-Rigid"
C0004135,Ataxia Telangiectasia
C0007820,Cerebrovascular Disorders
C0497327,Dementia
C0002395,Alzheimer's Disease
C0270736,Essential Tremor
C0813142,Circadian Rhythm Disorders
C0270911,"Charcot-Marie-Tooth Disease, Type Ia (disorder)"
C0265316,Neurocutaneous Syndromes
C0524851,Neurodegenerative Disorders
C0751292,Age-Related Memory Disorders
C0270972,Cornelia De Lange Syndrome
C0432416,"Down Syndrome, Partial Trisomy 21"
C0458257,"Pain, Splitting"
C0002735,Oppenheim's Disease
C0751865,"Alcohol-Induced Disorders, Nervous System"
C0541798,Terminal insomnia
C0001916,Albinism
C0086543,Cataract
C0848676,"Subfertility, Male"
C0042341,Varicocele
C0022658,Kidney Diseases
C0020544,Renal hypertension
C0017658,Glomerulonephritis
C0041948,Uremia
C0085215,"Ovarian Failure, Premature"
C0000809,"Abortion, Habitual"
C0037188,Sinoatrial Block
C0878544,Cardiomyopathies
C0018790,Cardiac Arrest
C0151744,Myocardial Ischemia
C1956346,Coronary Artery Disease
C0042373,Vascular Diseases
C1563937,Atherogenesis
C0020538,Hypertensive disease
C0000772,Multiple congenital anomalies
C0005859,Bloom Syndrome
C0037268,Skin Abnormalities
C1148551,X-Linked Dyskeratosis Congenita
C0032339,Rothmund-Thomson syndrome
C0950123,"Genetic Diseases, Inborn"
C0025521,Inborn Errors of Metabolism
C0740340,"Amyloidosis, Familial"
C0033300,Progeria
C0010495,Cutis Laxa
C0043119,Werner Syndrome
C0085110,Severe Combined Immunodeficiency
C0009782,Connective Tissue Diseases
C0009326,Collagen Diseases
C0036421,Systemic Scleroderma
C1258104,Diffuse Scleroderma
C0178298,Skin and subcutaneous tissue disorders
C0018500,Hair Diseases
C0042900,Vitiligo
C0023787,Lipodystrophy
C1563696,DNA Repair-Deficiency Disorders
C0002152,Alloxan Diabetes
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
C1855520,"Hyperglycemia, Postprandial"
C0920563,Insulin Sensitivity
C0020473,Hyperlipidemia
C0020557,Hypertriglyceridemia
C0949855,"Electron Transport Chain Deficiencies, Mitochondrial"
C0042870,Vitamin D Deficiency
C0028754,Obesity
C0001614,Adrenal Cortex Diseases
C0004364,Autoimmune Diseases
C0086703,War Neurosis
C4505439,Moral Injury
C0029947,Overinclusion
C0085996,Child Development Deviations
C0019270,Hernia
C0011071,Sudden death
C0314657,Genetic Predisposition to Disease
C0919532,Genomic Instability
C3887640,Astrocytosis
C0018273,Growth Disorders
C5200801,Innate Inflammatory Response
C0022116,Ischemia
C0027686,Pathologic Neovascularization
C0027746,Nerve Degeneration
C0236664,Alcohol Related Disorders
C0001956,Alcohol Use Disorder
C0004161,Athletic Injuries
C0034530,Radiation injury
C0034531,"Radiation Injuries, Experimental"
C0004610,Bacteremia
C1135745,"Meningitis, Meningococcal, Serogroup A"
C1403891,"Waterhouse-Friderichsen Syndrome, Meningococcal"
C0002797,Anaplasmosis
C0006309,Brucellosis
C0029291,Psittacosis
C0041466,Typhoid Fever
C0079487,Helicobacter Infections
C0025303,Meningococcal Infections
C0041351,Tularemia
C0039128,Syphilis
C1301422,Diphtheria due to Corynebacterium diphtheriae
C0023343,Leprosy
C0041296,Tuberculosis
C0041310,"Tuberculosis, Endocrine"
C3179450,Pott's Paraplegia
C0041327,"Tuberculosis, Pulmonary"
C0006057,Botulism
C1257843,pseudomembranous colitis
C0039614,Tetanus
C1318973,Staphylococcus aureus infection
C0035436,Rheumatic Fever
C0085916,Bouillaud Disease
C0012624,Discitis
C0010356,Cross Infection
C4704910,Maternal Sepsis
C0035243,Respiratory Tract Infections
C0036690,Septicemia
C0011630,Dermatomycoses
C0030409,Paracoccidioidomycosis
C0026946,Mycoses
C1306038,Pulmonary Histoplasmosis
C0024116,"Lung Diseases, Fungal"
C0393484,Rasmussen Syndrome
C0025297,Viral meningitis
C0032371,Poliomyelitis
C0019163,Hepatitis B
C0341335,Cytomegalovirus Colitis
C0021345,Infectious Mononucleosis
C0036220,Kaposi Sarcoma
C0015674,Chronic Fatigue Syndrome
C0019159,Hepatitis A
C0019196,Hepatitis C
C0524910,"Hepatitis C, Chronic"
C1956384,Amazon Black Fever
C0019101,Hemorrhagic Fever with Renal Syndrome
C0086066,Acute Coryza
C0001857,AIDS related complex
C0007894,Cestode Infections
C0013502,Echinococcosis
C0013504,"Echinococcosis, Hepatic"
C0025530,Metagonimiasis
C0015652,Fascioliasis
C0277005,Opisthorchis viverrini Infection
C0036323,Schistosomiasis
C0021832,"Intestinal Diseases, Parasitic"
C0023897,"Liver Diseases, Parasitic"
C0024118,"Lung Diseases, Parasitic"
C0002438,Amebiasis
C0040558,Toxoplasmosis
C0023290,"Leishmaniasis, Visceral"
C0027333,Nagana
C0024530,Malaria
C0024535,"Malaria, Falciparum"
C0040921,Trichomonas Infections
C0010709,Cyst
C0751615,Intracranial Arachnoid Cysts
C0011649,Dermoid Cyst
C0023418,leukemia
C0023443,Hairy Cell Leukemia
C0023448,Lymphoid leukemia
C0023466,"Leukemia, Monocytic, Chronic"
C1879321,Acute Myeloid Leukemia (AML-M2)
C0023487,Acute Promyelocytic Leukemia
C0024299,Lymphoma
C1334968,Nodular Lymphocyte Predominant Hodgkin Lymphoma
C4721532,"Lymphoma, Non-Hodgkin, Familial"
C0079746,Immunoblastic Large-Cell Lymphoma
C0079773,"Lymphoma, T-Cell, Cutaneous"
C0023798,Lipoma
C0027149,Myxoma
C0023267,Fibroid Tumor
C0023269,leiomyosarcoma
C0027095,Myosarcoma
C0206660,Germinoma
C0278875,Adult Craniopharyngioma
C0017638,Glioma
C0001432,"Adenoma, Chromophobe"
C0025202,melanoma
C0027809,Neurilemmoma
C1879828,Benign Teratoma
C0008497,Choriocarcinoma
C0001430,Adenoma
C0007097,Carcinoma
C0001418,Adenocarcinoma
C2239176,Liver carcinoma
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma
C0007133,"Carcinoma, Papillary"
C0007137,Squamous cell carcinoma
C0281784,Benign Meningioma
C0026764,Multiple Myeloma
C0032131,Plasmacytoma
C0024419,Waldenstrom Macroglobulinemia
C0346990,Carcinomatosis of peritoneal cavity
C0035358,Retroperitoneal Neoplasms
C0685938,Malignant neoplasm of gastrointestinal tract
C0546837,Malignant neoplasm of esophagus
C0021841,Intestinal Neoplasms
C0007528,Cecal Neoplasms
C0009402,Colorectal Carcinoma
C0007113,Rectal Carcinoma
C0024623,Malignant neoplasm of stomach
C0345904,Malignant neoplasm of liver
C0030297,Pancreatic Neoplasm
C1140680,Malignant neoplasm of ovary
C0030521,Parathyroid Neoplasms
C0032019,Pituitary Neoplasms
C0027533,Neck Neoplasms
C0015461,Facial Neoplasms
C0026640,Mouth Neoplasms
C0007107,Malignant neoplasm of larynx
C2349952,Oropharyngeal Carcinoma
C0376544,Hematopoietic Neoplasms
C0006118,Brain Neoplasms
C0007798,Cerebral Ventricle Neoplasms
C0751300,Intracranial Meningeal Neoplasms
C0153646,Malignant neoplasm of spinal cord
C0282606,Myomatous neoplasm
C1959584,Cardiac Carcinoma
C0153504,Malignant tumor of mediastinum
C0024121,Lung Neoplasms
C0007131,Non-Small Cell Lung Carcinoma
C0751552,Malignant neoplasm of thymus
C0153567,Uterine Cancer
C0376358,Malignant neoplasm of prostate
C0751571,Cancer of Urinary Tract
