disease,symptom,disease_umls,symptom_umls,weight
22q11 Deletion Syndrome,"Auditory Processing Disorder, Central",C2936346,C0751257,1
22q11 Deletion Syndrome,Olfaction Disorders,C2936346,C0553757,1
22q11 Deletion Syndrome,Pleural Rub,C2936346,C0032230,1
"ACTH Syndrome, Ectopic",Abdominal Pain,C0001231,C0000737,1
"ACTH Syndrome, Ectopic",Ecchymosis,C0001231,C0013491,1
"ACTH Syndrome, Ectopic",Flushing,C0001231,C0016382,1
"ACTH Syndrome, Ectopic",Hirsutism,C0001231,C0019572,1
"ACTH Syndrome, Ectopic",Muscle Weakness,C0001231,C0151786,1
"ACTH Syndrome, Ectopic",Orthopnea,C0001231,C0085619,1
"ACTH Syndrome, Ectopic",Quadriparesis,C0001231,C0270790,1
"ACTH Syndrome, Ectopic",Subacute Delirium,C0001231,C0154333,1
"ACTH Syndrome, Ectopic",Weight Gain,C0001231,C0043094,1
"ACTH Syndrome, Ectopic",Weight Loss,C0001231,C1262477,1
ACTH-Secreting Pituitary Adenoma,Internal Ophthalmoplegia,C1306214,C0339693,1
ACTH-Secreting Pituitary Adenoma,Morbid obesity,C1306214,C0028756,1
ACTH-Secreting Pituitary Adenoma,Visual Impairment,C1306214,C3665347,1
ACTH-Secreting Pituitary Adenoma,Weight Gain,C1306214,C0043094,1
"AIDS Arteritis, Central Nervous System","Anisocoria, Physiologic",C0752330,C0751612,1
"AIDS Arteritis, Central Nervous System",Hemisensory Neglect,C0752330,C0751418,1
"AIDS Arteritis, Central Nervous System",Unconscious State,C0752330,C0041657,1
AIDS Dementia Complex,Age-Related Memory Disorders,C0001849,C0751292,1
AIDS Dementia Complex,Amnesia,C0001849,C0002622,1
AIDS Dementia Complex,"Auditory Processing Disorder, Central",C0001849,C0751257,1
AIDS Dementia Complex,Benign Hereditary Chorea,C0001849,C0393584,1
AIDS Dementia Complex,Catatonia,C0001849,C0007398,1
AIDS Dementia Complex,Color Anomia,C0001849,C0750915,1
AIDS Dementia Complex,"Hallucinations, Kinesthetic",C0001849,C0544668,1
AIDS Dementia Complex,Nonepileptic Seizures,C0001849,C3495874,1
AIDS Dementia Complex,Psychomotor Impairment,C0001849,C5441816,1
AIDS Dementia Complex,Subacute Delirium,C0001849,C0154333,1
AIDS related complex,Albuminuria,C0001857,C0001925,1
AIDS related complex,Asthenia,C0001857,C0004093,1
AIDS related complex,Body Weight,C0001857,C0005910,1
AIDS related complex,Cachexia,C0001857,C0006625,1
AIDS related complex,Diarrhea,C0001857,C0011991,1
AIDS related complex,Dyspepsia,C0001857,C0013395,1
AIDS related complex,Familial Thrombotic Thrombocytopenic Purpura,C0001857,C1956258,1
AIDS related complex,Hypergammaglobulinemia,C0001857,C0020455,1
AIDS related complex,Thrombocytopenic purpura,C0001857,C0857305,1
AIDS related complex,Weight Gain,C0001857,C0043094,1
AIDS-Associated Nephropathy,Albuminuria,C0078911,C0001925,1
AIDS-Associated Nephropathy,Cachexia,C0078911,C0006625,1
AIDS-Associated Nephropathy,Edema,C0078911,C0013604,1
AIDS-Associated Nephropathy,Muscle Weakness,C0078911,C0151786,1
AIDS-Associated Nephropathy,Pill Rolling Tremor,C0078911,C0751564,1
AIDS-Associated Nephropathy,Proteinuria,C0078911,C0033687,1
AIDS-Associated Nephropathy,Recurrent Low Back Pain,C0078911,C0751648,1
AIDS-Associated Nephropathy,Weight Loss,C0078911,C1262477,1
AIDS-Related Opportunistic Infections,Abdominal Pain,C0162526,C0000737,1
AIDS-Related Opportunistic Infections,Blindness both eyes NOS (disorder),C0162526,C1879328,1
AIDS-Related Opportunistic Infections,Cachexia,C0162526,C0006625,1
AIDS-Related Opportunistic Infections,Coughing,C0162526,C0010200,1
AIDS-Related Opportunistic Infections,Diarrhea,C0162526,C0011991,1
AIDS-Related Opportunistic Infections,Fever,C0162526,C0015967,1
AIDS-Related Opportunistic Infections,Fever of Unknown Origin,C0162526,C0015970,1
AIDS-Related Opportunistic Infections,Orthopnea,C0162526,C0085619,1
AIDS-Related Opportunistic Infections,Visual Impairment,C0162526,C3665347,1
AIDS-Related Opportunistic Infections,Weight Loss,C0162526,C1262477,1
Abdominal Abscess,"Abdomen, Acute",C0243001,C0000727,1
Abdominal Abscess,Abdominal Pain,C0243001,C0000737,1
Abdominal Abscess,Diarrhea,C0243001,C0011991,1
Abdominal Abscess,Fever,C0243001,C0015967,1
Abdominal Abscess,Fever of Unknown Origin,C0243001,C0015970,1
Abdominal Abscess,Morbid obesity,C0243001,C0028756,1
Abdominal Abscess,"Paraplegia, Cerebral",C0243001,C0278114,1
Abdominal Abscess,Pelvic Pain,C0243001,C0030794,1
Abdominal Abscess,Recurrent Low Back Pain,C0243001,C0751648,1
