Source,Target,Type,Id,Label,Weight
C2936346,C0751257,Directed,C2936346_C0751257,"Edge from 22q11 Deletion Syndrome to Auditory Processing Disorder, Central",1
C2936346,C0553757,Directed,C2936346_C0553757,Edge from 22q11 Deletion Syndrome to Olfaction Disorders,1
C2936346,C0032230,Directed,C2936346_C0032230,Edge from 22q11 Deletion Syndrome to Pleural Rub,1
C0001231,C0000737,Directed,C0001231_C0000737,"Edge from ACTH Syndrome, Ectopic to Abdominal Pain",1
C0001231,C0013491,Directed,C0001231_C0013491,"Edge from ACTH Syndrome, Ectopic to Ecchymosis",1
C0001231,C0016382,Directed,C0001231_C0016382,"Edge from ACTH Syndrome, Ectopic to Flushing",1
C0001231,C0019572,Directed,C0001231_C0019572,"Edge from ACTH Syndrome, Ectopic to Hirsutism",1
C0001231,C0151786,Directed,C0001231_C0151786,"Edge from ACTH Syndrome, Ectopic to Muscle Weakness",1
C0001231,C0085619,Directed,C0001231_C0085619,"Edge from ACTH Syndrome, Ectopic to Orthopnea",1
C0001231,C0270790,Directed,C0001231_C0270790,"Edge from ACTH Syndrome, Ectopic to Quadriparesis",1
C0001231,C0154333,Directed,C0001231_C0154333,"Edge from ACTH Syndrome, Ectopic to Subacute Delirium",1
C0001231,C0043094,Directed,C0001231_C0043094,"Edge from ACTH Syndrome, Ectopic to Weight Gain",1
C0001231,C1262477,Directed,C0001231_C1262477,"Edge from ACTH Syndrome, Ectopic to Weight Loss",1
C1306214,C0339693,Directed,C1306214_C0339693,Edge from ACTH-Secreting Pituitary Adenoma to Internal Ophthalmoplegia,1
C1306214,C0028756,Directed,C1306214_C0028756,Edge from ACTH-Secreting Pituitary Adenoma to Morbid obesity,1
C1306214,C3665347,Directed,C1306214_C3665347,Edge from ACTH-Secreting Pituitary Adenoma to Visual Impairment,1
C1306214,C0043094,Directed,C1306214_C0043094,Edge from ACTH-Secreting Pituitary Adenoma to Weight Gain,1
C0752330,C0751612,Directed,C0752330_C0751612,"Edge from AIDS Arteritis, Central Nervous System to Anisocoria, Physiologic",1
C0752330,C0751418,Directed,C0752330_C0751418,"Edge from AIDS Arteritis, Central Nervous System to Hemisensory Neglect",1
C0752330,C0041657,Directed,C0752330_C0041657,"Edge from AIDS Arteritis, Central Nervous System to Unconscious State",1
C0001849,C0751292,Directed,C0001849_C0751292,Edge from AIDS Dementia Complex to Age-Related Memory Disorders,1
C0001849,C0002622,Directed,C0001849_C0002622,Edge from AIDS Dementia Complex to Amnesia,1
C0001849,C0751257,Directed,C0001849_C0751257,"Edge from AIDS Dementia Complex to Auditory Processing Disorder, Central",1
C0001849,C0393584,Directed,C0001849_C0393584,Edge from AIDS Dementia Complex to Benign Hereditary Chorea,1
C0001849,C0007398,Directed,C0001849_C0007398,Edge from AIDS Dementia Complex to Catatonia,1
C0001849,C0750915,Directed,C0001849_C0750915,Edge from AIDS Dementia Complex to Color Anomia,1
C0001849,C0544668,Directed,C0001849_C0544668,"Edge from AIDS Dementia Complex to Hallucinations, Kinesthetic",1
C0001849,C3495874,Directed,C0001849_C3495874,Edge from AIDS Dementia Complex to Nonepileptic Seizures,1
C0001849,C5441816,Directed,C0001849_C5441816,Edge from AIDS Dementia Complex to Psychomotor Impairment,1
C0001849,C0154333,Directed,C0001849_C0154333,Edge from AIDS Dementia Complex to Subacute Delirium,1
C0001857,C0001925,Directed,C0001857_C0001925,Edge from AIDS related complex to Albuminuria,1
C0001857,C0004093,Directed,C0001857_C0004093,Edge from AIDS related complex to Asthenia,1
C0001857,C0005910,Directed,C0001857_C0005910,Edge from AIDS related complex to Body Weight,1
C0001857,C0006625,Directed,C0001857_C0006625,Edge from AIDS related complex to Cachexia,1
C0001857,C0011991,Directed,C0001857_C0011991,Edge from AIDS related complex to Diarrhea,1
C0001857,C0013395,Directed,C0001857_C0013395,Edge from AIDS related complex to Dyspepsia,1
C0001857,C1956258,Directed,C0001857_C1956258,Edge from AIDS related complex to Familial Thrombotic Thrombocytopenic Purpura,1
C0001857,C0020455,Directed,C0001857_C0020455,Edge from AIDS related complex to Hypergammaglobulinemia,1
C0001857,C0857305,Directed,C0001857_C0857305,Edge from AIDS related complex to Thrombocytopenic purpura,1
C0001857,C0043094,Directed,C0001857_C0043094,Edge from AIDS related complex to Weight Gain,1
C0078911,C0001925,Directed,C0078911_C0001925,Edge from AIDS-Associated Nephropathy to Albuminuria,1
C0078911,C0006625,Directed,C0078911_C0006625,Edge from AIDS-Associated Nephropathy to Cachexia,1
C0078911,C0013604,Directed,C0078911_C0013604,Edge from AIDS-Associated Nephropathy to Edema,1
C0078911,C0151786,Directed,C0078911_C0151786,Edge from AIDS-Associated Nephropathy to Muscle Weakness,1
C0078911,C0751564,Directed,C0078911_C0751564,Edge from AIDS-Associated Nephropathy to Pill Rolling Tremor,1
C0078911,C0033687,Directed,C0078911_C0033687,Edge from AIDS-Associated Nephropathy to Proteinuria,1
C0078911,C0751648,Directed,C0078911_C0751648,Edge from AIDS-Associated Nephropathy to Recurrent Low Back Pain,1
C0078911,C1262477,Directed,C0078911_C1262477,Edge from AIDS-Associated Nephropathy to Weight Loss,1
C0162526,C0000737,Directed,C0162526_C0000737,Edge from AIDS-Related Opportunistic Infections to Abdominal Pain,1
C0162526,C1879328,Directed,C0162526_C1879328,Edge from AIDS-Related Opportunistic Infections to Blindness both eyes NOS (disorder),1
C0162526,C0006625,Directed,C0162526_C0006625,Edge from AIDS-Related Opportunistic Infections to Cachexia,1
C0162526,C0010200,Directed,C0162526_C0010200,Edge from AIDS-Related Opportunistic Infections to Coughing,1
C0162526,C0011991,Directed,C0162526_C0011991,Edge from AIDS-Related Opportunistic Infections to Diarrhea,1
C0162526,C0015967,Directed,C0162526_C0015967,Edge from AIDS-Related Opportunistic Infections to Fever,1
C0162526,C0015970,Directed,C0162526_C0015970,Edge from AIDS-Related Opportunistic Infections to Fever of Unknown Origin,1
C0162526,C0085619,Directed,C0162526_C0085619,Edge from AIDS-Related Opportunistic Infections to Orthopnea,1
C0162526,C3665347,Directed,C0162526_C3665347,Edge from AIDS-Related Opportunistic Infections to Visual Impairment,1
C0162526,C1262477,Directed,C0162526_C1262477,Edge from AIDS-Related Opportunistic Infections to Weight Loss,1
C0243001,C0000727,Directed,C0243001_C0000727,"Edge from Abdominal Abscess to Abdomen, Acute",1
C0243001,C0000737,Directed,C0243001_C0000737,Edge from Abdominal Abscess to Abdominal Pain,1
C0243001,C0011991,Directed,C0243001_C0011991,Edge from Abdominal Abscess to Diarrhea,1
C0243001,C0015967,Directed,C0243001_C0015967,Edge from Abdominal Abscess to Fever,1
C0243001,C0015970,Directed,C0243001_C0015970,Edge from Abdominal Abscess to Fever of Unknown Origin,1
C0243001,C0028756,Directed,C0243001_C0028756,Edge from Abdominal Abscess to Morbid obesity,1
C0243001,C0278114,Directed,C0243001_C0278114,"Edge from Abdominal Abscess to Paraplegia, Cerebral",1
C0243001,C0030794,Directed,C0243001_C0030794,Edge from Abdominal Abscess to Pelvic Pain,1
C0243001,C0751648,Directed,C0243001_C0751648,Edge from Abdominal Abscess to Recurrent Low Back Pain,1
C0243001,C0042025,Directed,C0243001_C0042025,Edge from Abdominal Abscess to Urinary Stress Incontinence,1
C0270858,C0458247,Directed,C0270858_C0458247,Edge from Abdominal Migraine to Allodynia,1
C0270858,C0155503,Directed,C0270858_C0155503,Edge from Abdominal Migraine to Central Nervous System Origin Vertigo,1
C0270858,C0877781,Directed,C0270858_C0877781,Edge from Abdominal Migraine to Hemicrania,2
C0270858,C0392550,Directed,C0270858_C0392550,"Edge from Abdominal Migraine to Hemiplegia, Infantile",1
C0270858,C0034880,Directed,C0270858_C0034880,Edge from Abdominal Migraine to Hyperacusis,1
C0270858,C0339693,Directed,C0270858_C0339693,Edge from Abdominal Migraine to Internal Ophthalmoplegia,1
C0270858,C0220870,Directed,C0270858_C0220870,Edge from Abdominal Migraine to Lightheadedness,1
