Id,Label,condition
C2936346,22q11 Deletion Syndrome,disease
C0001231,"ACTH Syndrome, Ectopic",disease
C1306214,ACTH-Secreting Pituitary Adenoma,disease
C0752330,"AIDS Arteritis, Central Nervous System",disease
C0001849,AIDS Dementia Complex,disease
C0001857,AIDS related complex,disease
C0078911,AIDS-Associated Nephropathy,disease
C0162526,AIDS-Related Opportunistic Infections,disease
C0243001,Abdominal Abscess,disease
C0270858,Abdominal Migraine,disease
C0000735,Abdominal Neoplasms,disease
C0161407,Abducens Nerve Injury,disease
C0751940,"Abducens Palsy, Childhood, Benign Recurrent",disease
C0000744,Abetalipoproteinemia,disease
C0000771,"Abnormalities, Drug-Induced",disease
C0000773,"Abnormalities, Radiation-Induced",disease
C2713367,"Abnormality, Severe Teratoid",disease
C0000809,"Abortion, Habitual",disease
C0000817,"Abortion, Septic",disease
C0000822,"Abortion, Tubal",disease
C0000823,"Abortion, Veterinary",disease
C0000832,Abruptio Placentae,disease
C0000833,Abscess,symptom
C0014553,Absence Epilepsy,disease
C0267841,Acalculous Cholecystitis,disease
C0000880,Acanthamoeba Keratitis,disease
C3489414,Acanthocheilonema perstans Infection,disease
C0000887,Acantholysis,disease
C0000889,Acanthosis Nigricans,symptom
C2936847,Acatalasemia Japanese type,disease
C0078888,Accelerated Idioventricular Rhythm,disease
C0152180,Accessory Nerve Disorder,disease
C0001075,Achlorhydria,disease
C0001080,Achondroplasia,disease
C0001118,Acid-Base Imbalance,disease
C0001122,Acidosis,symptom
C0001125,"Acidosis, Lactic",symptom
C0001127,"Acidosis, Respiratory",disease
C0206685,Acinar Cell Carcinoma,disease
C0001139,Acinetobacter Infections,disease
C0001145,Acne Keloid,disease
C0001144,Acne Vulgaris,symptom
C0175167,Acneiform Eruptions,disease
C0027859,Acoustic Neuroma,disease
C1148522,Acoustic Trauma,symptom
C2936664,Acquired Hypogammaglobulinemia,disease
C0001175,Acquired Immunodeficiency Syndrome,disease
C0454560,Acquired Language Disorders,symptom
C0751316,Acquired Meningomyelocele,disease
C0751091,Acquired Spelling Dyslexia,symptom
C0340228,Acquired Subglottic Stenosis,disease
C0158461,Acquired claw foot,symptom
C0917990,Acro-Osteolysis,disease
C0796147,Acrocallosal Syndrome,disease
C0001197,Acrodermatitis,disease
C0001198,Acrodynia,disease
C0001206,Acromegaly,symptom
C0022602,Actinic keratosis,disease
C0001249,Actinobacillus Infections,disease
C0001255,Actinomycetales Infections,disease
C0001261,Actinomycosis,disease
C0600433,Activated Protein C Resistance,disease
C0751956,Acute Cerebrovascular Accidents,symptom
C0742343,Acute Chest Syndrome,disease
C0149520,Acute Cholecystitis,disease
C0948089,Acute Coronary Syndrome,symptom
C0086066,Acute Coryza,disease
C0001314,Acute Disease,disease
C0023440,Acute Erythroblastic Leukemia,disease
C0877055,Acute Generalized Exanthematous Pustulosis,disease
C3542501,Acute Infective Polyneuritis,disease
C0264700,Acute Inferior Myocardial Infarction,disease
C0022672,Acute Kidney Tubular Necrosis,disease
C0242488,Acute Lung Injury,disease
C0023462,Acute Megakaryocytic Leukemias,disease
C1879321,Acute Myeloid Leukemia (AML-M2),disease
C0023487,Acute Promyelocytic Leukemia,disease
C0023464,Acute biphenotypic leukemia,disease
C0162565,Acute intermittent porphyria,disease
C0023465,Acute monocytic leukemia,disease
C0023479,Acute myelomonocytic leukemia,disease
C0001349,Acute-Phase Reaction,disease
C0334556,Adamantinoma of Long Bones,disease
C0001396,Adams-Stokes Syndrome,disease
C0001403,Addison Disease,disease
C0001416,Adenitis,disease
C0001418,Adenocarcinoma,disease
C0206681,"Adenocarcinoma, Clear Cell",disease
C0007135,"Adenocarcinoma, Scirrhous",disease
C0001422,Adenofibroma,disease
C0010606,Adenoid Cystic Carcinoma,disease
C0001429,Adenolymphoma,disease
C0001430,Adenoma,disease
C0001433,"Adenoma, Acidophil",disease
C0001431,"Adenoma, Basophil",disease
C0001432,"Adenoma, Chromophobe",disease
C0019522,"Adenoma, Sweat Gland",disease
C0206674,"Adenoma, Villous",disease
C0206675,Adenomatoid Tumor,disease
C0206677,Adenomatous Polyps,disease
C0206622,Adenomyoma,disease
C0001442,Adenosarcoma,disease
C0085750,Adenosis of Breast,disease
C0206623,Adenosquamous carcinoma,disease
C0001486,Adenovirus Infections,disease
C0001487,"Adenovirus Infections, Human",disease
C0268126,Adenylosuccinate lyase deficiency (disorder),disease
C0158300,Adhesive Capsulitis,disease
C0001519,Adie Syndrome,disease
C0001529,Adiposis Dolorosa,disease
C0001546,Adjustment Disorders,disease
C0001576,Adnexal Diseases,disease
C0001577,Adnexitis,disease
C0001614,Adrenal Cortex Diseases,disease
C0206667,Adrenal Cortical Adenoma,disease
C0001621,Adrenal Gland Diseases,disease
C0001622,Adrenal Gland Hyperfunction,disease
C0001624,Adrenal Gland Neoplasms,disease
C0001630,Adrenal Rest Tumor,disease
C0001623,Adrenal gland hypofunction,disease
C0206686,Adrenocortical carcinoma,disease
C0302280,Adrenogenital Syndrome,disease
C0162309,Adrenoleukodystrophy,disease
C0278875,Adult Craniopharyngioma,disease
C0341703,Adult Fanconi syndrome,disease
C0279070,Adult Oligodendroglioma,disease
C0751910,Adult Optic Nerve Glioma,disease
C0751914,Adult Pelizaeus-Merzbacher Disease,disease
C3887650,Adult Rickets,disease
C0281328,Adult Subependymoma,disease
C0023493,Adult T-Cell Lymphoma/Leukemia,disease
C1842914,Adult-Onset Vitelliform Macular Dystrophy,disease
C5545313,Adverse Birth Outcomes,disease
C0001723,"Affective Disorders, Psychotic",disease
C0001727,Afferent Loop Syndrome,disease
C0001752,African swine fever,disease
C1306068,After-cataract,disease
C0001768,Agammaglobulinemia,disease
C0085758,"Aganglionosis, Colonic",disease
C0751292,Age-Related Memory Disorders,symptom
C0031106,Aggressive Periodontitis,disease
C0001816,Agnosia,symptom
C0001818,Agoraphobia,disease
C0001824,Agranulocytosis,disease
C0001825,Agraphia,symptom
C0001828,Agricultural Workers' Diseases,disease
C1879312,Agyria,disease
C0001860,Ainhum,disease
C0013926,Air Embolism,disease
C0001883,Airway Obstruction,disease
C0001889,Akinetic Mutism,disease
C0085280,Alagille Syndrome,disease
C0001916,Albinism,disease
C0078917,"Albinism, Ocular",disease
C0078922,"Albinism, Tyrosinase-Positive",disease
C0001925,Albuminuria,symptom
C0001940,Alcohol Amnestic Disorder,disease
C0236664,Alcohol Related Disorders,disease
C0001956,Alcohol Use Disorder,disease
C0001957,Alcohol Withdrawal Delirium,disease
C0586323,Alcohol Withdrawal Seizures,disease
C0236970,Alcohol-Induced Disorders,disease
C0751865,"Alcohol-Induced Disorders, Nervous System",disease
C0001969,Alcoholic Intoxication,disease
C0001973,"Alcoholic Intoxication, Chronic",disease
C0023896,Alcoholic Liver Diseases,disease
C0085677,Alcoholic Neuropathy,disease
C2718067,Alcoholic Steatohepatitis,disease
C0002016,Aleutian Mink Disease,disease
C0270726,Alexander Disease,disease
C0002018,Alexia,symptom
C0751840,"Alexia, Pure",symptom
C2717760,Alien Hand Syndrome,symptom
C0002063,Alkalosis,disease
C0002064,"Alkalosis, Respiratory",symptom
C0002066,Alkaptonuria,disease
C1527304,Allergic Reaction,disease
C0559469,Allergy to eggs,disease
C0559470,Allergy to peanuts,disease
C0458247,Allodynia,symptom
C0002152,Alloxan Diabetes,disease
C0002170,Alopecia,symptom
C0002171,Alopecia Areata,disease
C0268425,Alstrom Syndrome,disease
C0085784,Alveolalgia,disease
C0002382,Alveolar Bone Loss,disease
C0206657,Alveolar Soft Part Sarcoma,disease
C0206655,Alveolar rhabdomyosarcoma,disease
C0002395,Alzheimer's Disease,disease
C0149793,Amaurosis Fugax,symptom
C1956384,Amazon Black Fever,disease
C0750903,"Amblyopia, Suppression",symptom
C0002438,Amebiasis,disease
C0013370,Amebic colitis,disease
C0002448,Ameloblastoma,disease
C0002452,Amelogenesis Imperfecta,disease
C0002514,"Amino Acid Metabolism, Inborn Errors",disease
C0751746,"Amino Acid Transport Disorders, Inborn",disease
C3542499,Aminoacylase 2 Deficiency,disease
C0002622,Amnesia,symptom
C0233795,"Amnesia, Anterograde",symptom
C0338591,"Amnesia, Transient Global",symptom
C0002636,Amniotic Band Syndrome,disease
C0236733,Amphetamine-Related Disorders,disease
C0002694,"Amputation, Traumatic",disease
C0751660,"Amyloid Neuropathy, Secondary",disease
C0342608,"Amyloid Polyneuropathy, British Type (disorder)",disease
C0002726,Amyloidosis,disease
C0740340,"Amyloidosis, Familial",disease
C0002736,Amyotrophic Lateral Sclerosis,disease
C0205929,Anal Fistula,disease
C0002757,Anal Gland Neoplasms,disease
C4759657,Anal Ulcer,disease
C0279637,Anal carcinoma,disease
C0752146,Analgesic Rebound Headache,disease
C0002793,Anaplasia,disease
