Source,Target,Type,Id,Label,Weight
C0000833,C0041834,Directed,C0000833_C0041834,Edge from Abscess to Erythema,1
C0001080,C0221355,Directed,C0001080_C0221355,Edge from Achondroplasia to Macrocephaly,1
C0001144,C2004491,Directed,C0001144_C2004491,Edge from Acne to Scar,1
C0796147,C5441816,Directed,C0796147_C5441816,Edge from Acrocallosal syndrome to Psychomotor retardation,1
C0796147,C0152427,Directed,C0796147_C0152427,Edge from Acrocallosal syndrome to Polydactyly,1
C0006277,C0010200,Directed,C0006277_C0010200,Edge from Bronchitis to Cough,1
C0006277,C0015967,Directed,C0006277_C0015967,Edge from Bronchitis to Fever,1
C0006277,C0085619,Directed,C0006277_C0085619,Edge from Bronchitis to Shortness of breath,1
C0162557,C0242183,Directed,C0162557_C0242183,Edge from Acute liver failure to Jaundice,1
C0162557,C0020649,Directed,C0162557_C0020649,Edge from Acute liver failure to Hypotension,1
C0162557,C0019087,Directed,C0162557_C0019087,Edge from Acute liver failure to Bleeding diathesis,1
C0023452,C0024228,Directed,C0023452_C0024228,Edge from Acute lymphoblastic leukemia to Lymphadenopathy,1
C0023452,C0015967,Directed,C0023452_C0015967,Edge from Acute lymphoblastic leukemia to Fever,1
C1879321,C0009938,Directed,C1879321_C0009938,Edge from Acute myeloid leukemia to Bruise,1
C1879321,C0009450,Directed,C1879321_C0009450,Edge from Acute myeloid leukemia to Infection,1
C1879321,C0019080,Directed,C1879321_C0019080,Edge from Acute myeloid leukemia to Bleeding,1
C1879321,C0085619,Directed,C1879321_C0085619,Edge from Acute myeloid leukemia to Shortness of breath,1
C1879321,C0086525,Directed,C1879321_C0086525,Edge from Acute myeloid leukemia to Fatigue,1
C0034530,C0042963,Directed,C0034530_C0042963,Edge from Acute radiation syndrome to Vomiting,1
C0034530,C0003123,Directed,C0034530_C0003123,Edge from Acute radiation syndrome to Anorexia (symptom),1
C2887484,C0008031,Directed,C2887484_C0008031,Edge from Acute respiratory distress syndrome to Chest pain,1
C2887484,C0010520,Directed,C2887484_C0010520,Edge from Acute respiratory distress syndrome to Cyanosis,1
C2887484,C0085619,Directed,C2887484_C0085619,Edge from Acute respiratory distress syndrome to Shortness of breath,1
C0001486,C0009763,Directed,C0001486_C0009763,Edge from Adenovirus infection to Conjunctivitis,1
C0001486,C0042963,Directed,C0001486_C0042963,Edge from Adenovirus infection to Vomiting,1
C0001486,C0017160,Directed,C0001486_C0017160,Edge from Adenovirus infection to Gastroenteritis,1
C0001486,C0042029,Directed,C0001486_C0042029,Edge from Adenovirus infection to Urinary tract infection,1
C0001486,C0035455,Directed,C0001486_C0035455,Edge from Adenovirus infection to Rhinitis,1
C0001486,C0000737,Directed,C0001486_C0000737,Edge from Adenovirus infection to Abdominal pain,1
C0001486,C0040425,Directed,C0001486_C0040425,Edge from Adenovirus infection to Tonsillitis,1
C0001486,C0024228,Directed,C0001486_C0024228,Edge from Adenovirus infection to Lymphadenopathy,1
C0001486,C0085593,Directed,C0001486_C0085593,Edge from Adenovirus infection to Chills,1
C0001486,C0231528,Directed,C0001486_C0231528,Edge from Adenovirus infection to Myalgia,1
C0001486,C0010200,Directed,C0001486_C0010200,Edge from Adenovirus infection to Cough,1
C0001486,C0877781,Directed,C0001486_C0877781,Edge from Adenovirus infection to Headache,1
