Source,Target,Type,Label,Symptom_Occurence,Association_Strength,Weight
C0008031,C0020538,Directed,pain  chest,21,0.9666666666666667,10.053333333333335
C0392680,C0020538,Directed,shortness  of breath,49,0.9333333333333333,7.546666666666667
C0012833,C0020538,Directed,dizziness,8,0.9,10.56
C0004093,C0020538,Directed,asthenia,24,0.8666666666666667,9.013333333333334
C0085639,C0020538,Directed,fall,9,0.8333333333333334,9.946666666666669
C0039070,C0020538,Directed,syncope,15,0.8,9.200000000000001
C0042571,C0020538,Directed,vertigo,6,0.7666666666666667,9.653333333333334
C0038990,C0020538,Directed,sweat,12,0.7333333333333333,8.906666666666666
C0700590,C0020538,Directed,sweating  increased,12,0.7,8.64
C0030252,C0020538,Directed,palpitation,10,0.6666666666666666,8.533333333333333
C0027497,C0020538,Directed,nausea,24,0.6333333333333333,7.146666666666668
C0002962,C0020538,Directed,angina  pectoris,10,0.6,8.0
C0438716,C0020538,Directed,pressure  chest,7,0.5666666666666667,7.9733333333333345
C0032617,C0011847,Directed,polyuria,4,0.9666666666666667,11.413333333333336
C0085602,C0011847,Directed,polydypsia,5,0.9333333333333333,11.066666666666666
C0392680,C0011847,Directed,shortness  of breath,49,0.9,7.280000000000001
C0008031,C0011847,Directed,pain  chest,21,0.8666666666666667,9.253333333333334
C0004093,C0011847,Directed,asthenia,24,0.8333333333333334,8.746666666666666
C0027497,C0011847,Directed,nausea,24,0.8,8.48
C0085619,C0011847,Directed,orthopnea,15,0.7666666666666667,8.933333333333334
C0034642,C0011847,Directed,rale,22,0.7333333333333333,8.106666666666666
C0038990,C0011847,Directed,sweat,12,0.7,8.64
C0700590,C0011847,Directed,sweating  increased,12,0.6666666666666666,8.373333333333333
C0241526,C0011847,Directed,unresponsiveness,25,0.6333333333333333,7.066666666666668
C0856054,C0011847,Directed,mental  status changes,9,0.6,8.08
C0042571,C0011847,Directed,vertigo,6,0.5666666666666667,8.053333333333335
C0042963,C0011847,Directed,vomiting,26,0.5333333333333333,6.186666666666667
C0553668,C0011847,Directed,labored breathing,5,0.5,7.6
C0424000,C0011570,Directed,feeling  suicidal,16,0.9666666666666667,10.453333333333335
C0424000,C0011581,Directed,feeling  suicidal,16,0.9666666666666667,10.453333333333335
C0438696,C0011570,Directed,suicidal,14,0.9666666666666667,10.613333333333335
C0438696,C0011581,Directed,suicidal,14,0.9666666666666667,10.613333333333335
C0233762,C0011570,Directed,hallucinations  auditory,15,0.9666666666666667,10.533333333333335
C0233762,C0011581,Directed,hallucinations  auditory,15,0.9666666666666667,10.533333333333335
C0150041,C0011570,Directed,feeling  hopeless,12,0.9666666666666667,10.773333333333335
C0150041,C0011581,Directed,feeling  hopeless,12,0.9666666666666667,10.773333333333335
C0424109,C0011570,Directed,weepiness,8,0.9666666666666667,11.093333333333335
C0424109,C0011581,Directed,weepiness,8,0.9666666666666667,11.093333333333335
C0917801,C0011570,Directed,sleeplessness,11,0.9666666666666667,10.853333333333335
C0917801,C0011581,Directed,sleeplessness,11,0.9666666666666667,10.853333333333335
C0424230,C0011570,Directed,motor  retardation,6,0.9666666666666667,11.253333333333336
C0424230,C0011581,Directed,motor  retardation,6,0.9666666666666667,11.253333333333336
C0022107,C0011570,Directed,irritable  mood,14,0.9666666666666667,10.613333333333335
C0022107,C0011581,Directed,irritable  mood,14,0.9666666666666667,10.613333333333335
C0312422,C0011570,Directed,blackout,13,0.9666666666666667,10.693333333333335
C0312422,C0011581,Directed,blackout,13,0.9666666666666667,10.693333333333335
C0344315,C0011570,Directed,mood  depressed,8,0.9666666666666667,11.093333333333335
C0344315,C0011581,Directed,mood  depressed,8,0.9666666666666667,11.093333333333335
C0233763,C0011570,Directed,hallucinations  visual,10,0.9666666666666667,10.933333333333335
C0233763,C0011581,Directed,hallucinations  visual,10,0.9666666666666667,10.933333333333335
C0233481,C0011570,Directed,worry,12,0.9666666666666667,10.773333333333335
C0233481,C0011581,Directed,worry,12,0.9666666666666667,10.773333333333335
C0085631,C0011570,Directed,agitation,21,0.9666666666666667,10.053333333333335
C0085631,C0011581,Directed,agitation,21,0.9666666666666667,10.053333333333335
C0040822,C0011570,Directed,tremor,15,0.9666666666666667,10.533333333333335
C0040822,C0011581,Directed,tremor,15,0.9666666666666667,10.533333333333335
C0728899,C0011570,Directed,intoxication,8,0.9666666666666667,11.093333333333335
C0728899,C0011581,Directed,intoxication,8,0.9666666666666667,11.093333333333335
C0424068,C0011570,Directed,verbal  auditory hallucinations,7,0.9666666666666667,11.173333333333336
C0424068,C0011581,Directed,verbal  auditory hallucinations,7,0.9666666666666667,11.173333333333336
C0455769,C0011570,Directed,energy  increased,6,0.9666666666666667,11.253333333333336
C0455769,C0011581,Directed,energy  increased,6,0.9666666666666667,11.253333333333336
C1299586,C0011570,Directed,difficulty,12,0.9666666666666667,10.773333333333335
C1299586,C0011581,Directed,difficulty,12,0.9666666666666667,10.773333333333335
C0028084,C0011570,Directed,nightmare,7,0.9666666666666667,11.173333333333336
C0028084,C0011581,Directed,nightmare,7,0.9666666666666667,11.173333333333336
C0235198,C0011570,Directed,unable  to concentrate,3,0.9666666666666667,11.493333333333332
C0235198,C0011581,Directed,unable  to concentrate,3,0.9666666666666667,11.493333333333332
C0237154,C0011570,Directed,homelessness,9,0.9666666666666667,11.013333333333335
C0237154,C0011581,Directed,homelessness,9,0.9666666666666667,11.013333333333335
C0008031,C0010054,Directed,pain  chest,21,0.9666666666666667,10.053333333333335
C0008031,C0010068,Directed,pain  chest,21,0.9666666666666667,10.053333333333335
C0002962,C0010054,Directed,angina  pectoris,10,0.9666666666666667,10.933333333333335
C0002962,C0010068,Directed,angina  pectoris,10,0.9666666666666667,10.933333333333335
C0392680,C0010054,Directed,shortness  of breath,49,0.9666666666666667,7.813333333333334
C0392680,C0010068,Directed,shortness  of breath,49,0.9666666666666667,7.813333333333334
C0086439,C0010054,Directed,hypokinesia,13,0.9666666666666667,10.693333333333335
C0086439,C0010068,Directed,hypokinesia,13,0.9666666666666667,10.693333333333335
C0038990,C0010054,Directed,sweat,12,0.9666666666666667,10.773333333333335
C0700590,C0010054,Directed,sweating  increased,12,0.9333333333333333,10.506666666666668
C0038990,C0010068,Directed,sweat,12,0.9666666666666667,10.773333333333335
C0700590,C0010068,Directed,sweating  increased,12,0.9333333333333333,10.506666666666668
C0438716,C0010054,Directed,pressure  chest,7,0.9666666666666667,11.173333333333336
C0438716,C0010068,Directed,pressure  chest,7,0.9666666666666667,11.173333333333336
C0231807,C0010054,Directed,dyspnea  on exertion,11,0.9666666666666667,10.853333333333335
C0231807,C0010068,Directed,dyspnea  on exertion,11,0.9666666666666667,10.853333333333335
C0085619,C0010054,Directed,orthopnea,15,0.9666666666666667,10.533333333333335
C0085619,C0010068,Directed,orthopnea,15,0.9666666666666667,10.533333333333335
C0232292,C0010054,Directed,chest  tightness,9,0.9666666666666667,11.013333333333335
C0232292,C0010068,Directed,chest  tightness,9,0.9666666666666667,11.013333333333335
C0010200,C0032285,Directed,cough,25,0.9666666666666667,9.733333333333334
C0015967,C0032285,Directed,fever,39,0.9333333333333333,8.346666666666668
C0029053,C0032285,Directed,decreased  translucency,8,0.9,10.56
C0392680,C0032285,Directed,shortness  of breath,49,0.8666666666666667,7.013333333333334
C0034642,C0032285,Directed,rale,22,0.8333333333333334,8.906666666666666
C0239134,C0032285,Directed,productive  cough,11,0.8,9.520000000000001
C0008033,C0032285,Directed,pleuritic  pain,13,0.7666666666666667,9.093333333333334
C0457096,C0032285,Directed,yellow  sputum,6,0.7333333333333333,9.386666666666667
C0238844,C0032285,Directed,breath  sounds decreased,7,0.7,9.04
C0085593,C0032285,Directed,chill,26,0.6666666666666666,7.253333333333334
C0035508,C0032285,Directed,rhonchus,8,0.6333333333333333,8.426666666666666
C0457097,C0032285,Directed,green  sputum,4,0.6,8.48
C0850149,C0032285,Directed,non-productive  cough,11,0.5666666666666667,7.653333333333334
C0043144,C0032285,Directed,wheezing,11,0.5333333333333333,7.3866666666666685
C0019079,C0032285,Directed,haemoptysis,6,0.5,7.52
C0476273,C0032285,Directed,distress  respiratory,14,0.4666666666666667,6.613333333333333
C0231835,C0032285,Directed,tachypnea,15,0.43333333333333335,6.2666666666666675
C0231218,C0032285,Directed,malaise,3,0.4,6.960000000000001
C0028081,C0032285,Directed,night  sweat,18,0.36666666666666664,5.493333333333333
C0392680,C0018802,Directed,shortness  of breath,49,0.9666666666666667,7.813333333333334
C0085619,C0018802,Directed,orthopnea,15,0.9333333333333333,10.266666666666666
C0240100,C0018802,Directed,jugular  venous distention,7,0.9,10.64
C0034642,C0018802,Directed,rale,22,0.8666666666666667,9.173333333333334
C0013404,C0018802,Directed,dyspnea,24,0.8333333333333334,8.746666666666666
C0010200,C0018802,Directed,cough,25,0.8,8.4
C0043144,C0018802,Directed,wheezing,11,0.7666666666666667,9.253333333333334
C0013362,C0038454,Directed,dysarthria,6,0.9666666666666667,11.253333333333336
C0004093,C0038454,Directed,asthenia,24,0.9333333333333333,9.546666666666667
C0234518,C0038454,Directed,speech  slurred,5,0.9,10.8
C0427055,C0038454,Directed,facial  paresis,10,0.8666666666666667,10.133333333333335
C0018991,C0038454,Directed,hemiplegia,10,0.8333333333333334,9.866666666666667
C0241526,C0038454,Directed,unresponsiveness,25,0.8,8.4
C0036572,C0038454,Directed,seizure,10,0.7666666666666667,9.333333333333334
C0028643,C0038454,Directed,numbness,6,0.7333333333333333,9.386666666666667
C0043144,C0004096,Directed,wheezing,11,0.9666666666666667,10.853333333333335
C0010200,C0004096,Directed,cough,25,0.9333333333333333,9.466666666666669
C0392680,C0004096,Directed,shortness  of breath,49,0.9,7.280000000000001
C0232292,C0004096,Directed,chest  tightness,9,0.8666666666666667,10.213333333333335
C0850149,C0004096,Directed,non-productive  cough,11,0.8333333333333334,9.786666666666669
C0008033,C0004096,Directed,pleuritic  pain,13,0.8,9.360000000000001
C0239134,C0004096,Directed,productive  cough,11,0.7666666666666667,9.253333333333334
C0436331,C0004096,Directed,symptom  aggravating factors,4,0.7333333333333333,9.546666666666667
C0476273,C0004096,Directed,distress  respiratory,14,0.7,8.479999999999999
C0008031,C0027051,Directed,pain chest,21,0.9666666666666667,10.053333333333335
C0520886,C0027051,Directed,st segment elevation,1,0.9333333333333333,11.386666666666667
C0038990,C0027051,Directed,sweat,12,0.9,10.24
C0700590,C0027051,Directed,sweating increased,12,0.8666666666666667,9.973333333333334
C0392680,C0027051,Directed,shortness of breath,49,0.8333333333333334,6.746666666666668
C0520887,C0027051,Directed,st segment depression,2,0.8,10.24
C0086439,C0027051,Directed,hypokinesia,13,0.7666666666666667,9.093333333333334
C0002962,C0027051,Directed,angina pectoris,10,0.7333333333333333,9.066666666666666
C0438716,C0027051,Directed,pressure chest,7,0.7,9.04
C0520888,C0027051,Directed,t wave inverted,3,0.6666666666666666,9.093333333333334
C0085619,C0027051,Directed,orthopnea,15,0.6333333333333333,7.866666666666666
C0034642,C0027051,Directed,rale,22,0.6,7.039999999999999
C0232292,C0027051,Directed,chest tightness,9,0.5666666666666667,7.813333333333334
C1305739,C0027051,Directed,presence of q wave,3,0.5333333333333333,8.026666666666667
C0030252,C0027051,Directed,palpitation,10,0.5,7.200000000000001
C0013404,C0027051,Directed,dyspnea,24,0.4666666666666667,5.8133333333333335
C0235710,C0027051,Directed,chest discomfort,7,0.43333333333333335,6.906666666666668
C0428977,C0027051,Directed,bradycardia,11,0.4,6.320000000000001
C0039070,C0027051,Directed,syncope,15,0.36666666666666664,5.7333333333333325
C0030193,C0020443,Directed,pain,44,0.9666666666666667,8.213333333333335
C0008031,C0020443,Directed,pain chest,21,0.9333333333333333,9.786666666666667
C0038990,C0020443,Directed,sweat,12,0.9,10.24
C0700590,C0020443,Directed,sweating increased,12,0.8666666666666667,9.973333333333334
C0337672,C0020443,Directed,nonsmoker,2,0.8333333333333334,10.506666666666668
C0438716,C0020443,Directed,pressure chest,7,0.8,9.840000000000002
C0039070,C0020443,Directed,syncope,15,0.7666666666666667,8.933333333333334
C0028643,C0020443,Directed,numbness,6,0.7333333333333333,9.386666666666667
C0235710,C0020443,Directed,chest discomfort,7,0.7,9.04
C0392680,C0020443,Directed,shortness of breath,49,0.6666666666666666,5.413333333333333
C0520887,C0020443,Directed,st segment depression,2,0.6333333333333333,8.906666666666666
C0233481,C0020443,Directed,worry,12,0.6,7.84
C0520888,C0020443,Directed,t wave inverted,3,0.5666666666666667,8.293333333333333
C0428977,C0020443,Directed,bradycardia,11,0.5333333333333333,7.3866666666666685
C0013404,C0020443,Directed,dyspnea,24,0.5,6.080000000000001
C0015967,C0021311,Directed,fever,39,0.9666666666666667,8.613333333333333
C0041834,C0021311,Directed,erythema,8,0.9333333333333333,10.826666666666666
C0029053,C0021311,Directed,decreased translucency,8,0.9,10.56
C0019214,C0021311,Directed,hepatosplenomegaly,3,0.8666666666666667,10.693333333333332
C0085593,C0021311,Directed,chill,26,0.8333333333333334,8.586666666666666
C0033774,C0021311,Directed,pruritus,10,0.8,9.600000000000001
C0011991,C0021311,Directed,diarrhea,30,0.7666666666666667,7.733333333333334
C0549483,C0021311,Directed,abscess bacterial,7,0.7333333333333333,9.306666666666668
C0038999,C0021311,Directed,swelling,14,0.7,8.479999999999999
