Id,Label,condition
C0035235,Respiratory Syncytial Virus Infections,disease
C0276357,Orthomyxoviridae Infections,disease
C0019693,HIV Infections,disease
C0001175,Acquired Immunodeficiency Syndrome,disease
C1257931,Breast Neoplasms,disease
C0007102,Colonic Neoplasms,disease
C1257925,"Mammary Neoplasms, Animal",disease
C0007114,Skin Neoplasms,disease
C0027659,"Neoplasms, Experimental",disease
C0007621,"Cell Transformation, Neoplastic",disease
C0027672,"Neoplastic Syndromes, Hereditary",disease
C0085390,Li-Fraumeni Syndrome,disease
C0005940,Bone Diseases,disease
C0005941,"Bone Diseases, Developmental",disease
C0751037,Cockayne Syndrome,disease
C0029453,"Bone Diseases, Metabolic",disease
C0001787,Osteoporosis,disease
C0037933,Spinal Diseases,disease
C0036439,Scoliosis,disease
C0022366,"Jaw, Edentulous",disease
C0022408,Joint Diseases,disease
C0003873,"Arthritis, Rheumatoid",disease
C0751153,Fibromyalgia,disease
C0162671,MELAS Syndrome,disease
C0162674,"Ophthalmoplegia, Chronic Progressive External",symptom
C0410189,"Muscular Dystrophy, Emery-Dreifuss",disease
C0376634,Craniofacial Abnormalities,disease
C0025958,Microcephaly,disease
C0009319,Colitis,disease
C0020877,Ileitis,disease
C0024523,Malabsorption Syndromes,disease
C2711227,Fatty Liver,disease
C0023890,Liver Cirrhosis,disease
C0149521,"Pancreatitis, Chronic",disease
C0015469,Facial Paralysis,symptom
C0080233,Tooth Loss,disease
C0004277,Tooth Attrition,disease
C0024115,Lung Diseases,disease
C4551693,Wolfram Syndrome,disease
C0018784,"Hearing Loss, Sensorineural",symptom
C0006111,Brain Diseases,disease
C0393574,Huntington Disease,disease
C0394003,Cerebral Palsy,disease
C0004135,Ataxia Telangiectasia,disease
C0007820,Cerebrovascular Disorders,disease
C0497327,Dementia,disease
C0002395,Alzheimer Disease,disease
C0270736,Essential Tremor,disease
C0813142,Chronobiology Disorders,disease
C0270911,Charcot-Marie-Tooth Disease,disease
C0265316,Neurocutaneous Syndromes,disease
C0524851,Neurodegenerative Diseases,disease
C0751292,Memory Disorders,symptom
C0270972,De Lange Syndrome,disease
C0432416,Down Syndrome,disease
C0458257,Pain,symptom
